                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45972,                 0.5969,                0.26961,                0.81782,                0.95168,                0.93403,                0.97181,                0.87071,                0.94961,                0.93561,                0.97106,                0.75021,                0.51932,                0.85468,                0.29535,                0.87465,              0.0033176,              0.0033176,              0.0033176
                      2,                0.46188,                0.59714,                0.27326,                0.81506,                0.94364,                0.93986,                 0.9712,                0.86759,                0.94254,                0.94024,                0.97026,                0.75074,                0.53113,                0.84906,                0.31106,                0.87437,              0.0066444,              0.0066444,              0.0066444
                      3,                0.48817,                0.60561,                0.28404,                0.81695,                0.94485,                0.93641,                 0.9704,                0.85869,                0.94583,                0.93752,                0.97038,                0.77285,                0.54959,                0.87368,                0.30681,                0.87619,              0.0099645,              0.0099645,              0.0099645
                      4,                0.50269,                0.61459,                0.28604,                0.82022,                0.94874,                0.92508,                0.96575,                0.85251,                0.95103,                0.92731,                0.96711,                0.76517,                0.54609,                0.90639,                0.31133,                 0.8779,              0.0099703,              0.0099703,              0.0099703
                      5,                0.50329,                 0.6187,                0.29109,                 0.8195,                0.94591,                0.93514,                0.97043,                0.85907,                0.94539,                0.93326,                0.96904,                0.73599,                0.55532,                0.87828,                0.31343,                0.87826,              0.0099604,              0.0099604,              0.0099604
                      6,                 0.5145,                0.62972,                0.29892,                0.82222,                0.94955,                0.93165,                0.96875,                0.85684,                0.95019,                0.93132,                0.96826,                 0.7428,                 0.5452,                0.89526,                0.31015,                0.87651,              0.0099505,              0.0099505,              0.0099505
                      7,                0.50301,                0.61578,                0.29651,                0.82361,                0.94398,                0.94123,                0.97128,                0.86136,                0.94221,                0.93946,                0.96996,                0.73317,                0.54111,                0.84021,                 0.3091,                0.87236,              0.0099406,              0.0099406,              0.0099406
                      8,                 0.5143,                0.63236,                 0.2992,                0.82131,                0.94869,                0.93544,                0.97014,                0.85702,                0.95015,                0.93423,                0.96967,                0.73987,                0.55042,                0.86632,                0.31579,                0.87318,              0.0099307,              0.0099307,              0.0099307
                      9,                0.50893,                0.61816,                0.29545,                0.82049,                0.95092,                0.93156,                0.97023,                0.86097,                0.95141,                0.93177,                0.97029,                0.75397,                0.54068,                0.86378,                0.30739,                 0.8749,              0.0099208,              0.0099208,              0.0099208
                     10,                0.50728,                0.62732,                0.29513,                0.82259,                 0.9447,                0.93172,                 0.9691,                0.84723,                0.94654,                0.93192,                0.96926,                0.72661,                0.57181,                0.85244,                0.31848,                0.87943,              0.0099109,              0.0099109,              0.0099109
                     11,                0.50494,                0.62535,                0.29262,                0.82345,                0.94901,                0.93015,                0.96777,                0.85239,                0.94905,                0.93018,                0.96771,                0.74229,                 0.5461,                 0.8488,                0.31585,                0.87183,               0.009901,               0.009901,               0.009901
                     12,                0.50558,                0.62256,                0.29421,                0.82113,                0.94754,                0.93292,                  0.969,                0.85855,                0.94857,                0.93348,                0.96939,                 0.7509,                0.54428,                 0.8822,                0.31133,                0.87466,              0.0098911,              0.0098911,              0.0098911
                     13,                0.50711,                0.62704,                0.30078,                0.82149,                0.94154,                0.93876,                0.97102,                0.86187,                0.94151,                0.93848,                0.96999,                0.73505,                0.54304,                0.85002,                0.31008,                0.87346,              0.0098812,              0.0098812,              0.0098812
                     14,                0.51123,                0.63388,                0.29684,                0.82354,                0.94604,                0.93359,                0.96999,                0.86233,                0.94712,                 0.9337,                 0.9695,                0.76429,                0.53537,                0.84817,                0.30852,                0.87433,              0.0098713,              0.0098713,              0.0098713
                     15,                0.51706,                0.63113,                0.30552,                0.82332,                0.94601,                0.93623,                0.97038,                0.85711,                0.94527,                0.93441,                0.96933,                0.72679,                 0.5509,                0.83609,                0.32209,                0.87237,              0.0098614,              0.0098614,              0.0098614
                     16,                0.49777,                0.61745,                0.29629,                0.82207,                0.94702,                0.93548,                0.97108,                0.85833,                0.94686,                0.93553,                 0.9706,                0.74937,                0.56275,                0.91123,                0.31272,                0.87581,              0.0098515,              0.0098515,              0.0098515
                     17,                0.50333,                0.63091,                0.29379,                0.82325,                0.94578,                0.93273,                0.96951,                0.85115,                 0.9452,                 0.9324,                0.96825,                0.72391,                 0.5557,                0.84938,                0.31898,                0.87505,              0.0098416,              0.0098416,              0.0098416
                     18,                0.50397,                0.62054,                0.29408,                0.82172,                0.94789,                0.92931,                0.96962,                0.86174,                0.95073,                0.92724,                0.96977,                0.75144,                0.53276,                0.87091,                0.31087,                0.87158,              0.0098317,              0.0098317,              0.0098317
                     19,                0.50289,                0.62197,                0.29931,                0.82355,                0.94767,                0.93393,                0.97016,                0.86037,                0.94762,                0.93299,                0.97011,                0.74082,                0.53064,                 0.8481,                0.30972,                0.87253,              0.0098218,              0.0098218,              0.0098218
                     20,                0.49918,                0.62151,                0.29545,                0.82282,                0.94886,                0.93752,                0.97011,                0.86209,                0.94914,                0.93743,                0.97058,                0.74408,                0.52474,                0.84901,                0.30596,                0.87295,              0.0098119,              0.0098119,              0.0098119
                     21,                 0.5111,                0.63668,                0.30365,                0.82347,                0.94972,                0.93001,                0.96931,                0.85816,                0.95082,                0.93101,                0.96928,                0.75191,                0.54271,                0.87281,                0.31325,                0.87552,               0.009802,               0.009802,               0.009802
                     22,                0.49604,                0.60924,                0.29978,                 0.8208,                0.94754,                0.93617,                0.97144,                0.85902,                0.94772,                  0.936,                0.97086,                0.73353,                0.54571,                0.87643,                0.31538,                0.87415,              0.0097921,              0.0097921,              0.0097921
                     23,                0.50702,                0.63388,                0.29589,                0.82382,                 0.9469,                 0.9302,                0.96914,                0.86336,                0.94895,                0.93065,                0.96971,                0.75902,                 0.5301,                0.88364,                 0.3094,                0.87556,              0.0097822,              0.0097822,              0.0097822
                     24,                0.50074,                0.61786,                  0.295,                0.82145,                0.94803,                0.93207,                0.96954,                0.86196,                0.94911,                0.93214,                0.96958,                0.75332,                0.52854,                0.85632,                0.30587,                0.87078,              0.0097723,              0.0097723,              0.0097723
                     25,                0.50156,                0.62824,                0.29659,                0.82368,                0.94502,                 0.9308,                 0.9691,                0.86058,                0.94666,                0.93002,                0.96904,                0.74544,                0.53636,                0.85944,                0.32018,                0.87379,              0.0097624,              0.0097624,              0.0097624
                     26,                0.49873,                0.61814,                0.29667,                0.82225,                0.94658,                0.93692,                0.97075,                0.86248,                0.94731,                0.93666,                0.97084,                0.74416,                0.52865,                0.85533,                0.30694,                0.87376,              0.0097525,              0.0097525,              0.0097525
                     27,                0.49148,                0.61747,                 0.2979,                0.82073,                0.94725,                0.93273,                0.96864,                0.85662,                0.94551,                0.93602,                0.96868,                0.73992,                0.53583,                0.87735,                0.31196,                0.87512,              0.0097426,              0.0097426,              0.0097426
                     28,                  0.504,                0.62552,                0.29548,                0.82251,                0.94605,                0.93466,                0.96991,                0.86026,                0.94625,                0.93465,                0.96932,                0.74454,                0.53716,                0.86871,                0.30763,                0.87351,              0.0097327,              0.0097327,              0.0097327
                     29,                0.49573,                 0.6161,                0.29038,                0.82224,                0.94938,                0.93344,                0.97049,                0.86429,                0.94985,                0.93315,                0.96999,                0.74569,                0.53906,                0.86848,                0.30672,                0.87463,              0.0097228,              0.0097228,              0.0097228
                     30,                0.50191,                0.63427,                 0.2934,                 0.8237,                0.94646,                0.93548,                0.97211,                0.86849,                0.94473,                0.93415,                0.97086,                0.74802,                0.52339,                0.85257,                0.30576,                0.87086,              0.0097129,              0.0097129,              0.0097129
                     31,                  0.499,                0.62261,                0.29126,                0.82022,                0.94664,                0.93529,                 0.9709,                0.86437,                0.94563,                0.93492,                0.97039,                0.74376,                 0.5303,                0.85653,                0.31008,                0.87126,               0.009703,               0.009703,               0.009703
                     32,                0.49963,                0.62547,                 0.3017,                0.82307,                0.94726,                0.93663,                0.97033,                0.86412,                0.94663,                0.93626,                0.97017,                0.74629,                0.53207,                0.86439,                0.31229,                0.87356,              0.0096931,              0.0096931,              0.0096931
                     33,                0.49947,                0.61768,                0.29363,                0.82318,                0.94527,                0.93624,                0.96985,                0.86435,                0.94684,                0.93592,                0.97008,                0.74957,                0.52567,                 0.8496,                0.30199,                0.87245,              0.0096832,              0.0096832,              0.0096832
                     34,                0.49741,                0.62652,                0.29373,                0.82171,                0.94734,                0.93647,                0.97143,                 0.8653,                0.94729,                0.93592,                0.97106,                0.76544,                0.53589,                0.86506,                0.30471,                0.87476,              0.0096733,              0.0096733,              0.0096733
                     35,                0.49261,                 0.6102,                0.28902,                 0.8203,                0.94942,                0.93188,                0.97048,                0.85972,                0.94718,                0.93225,                0.96934,                0.73323,                0.53992,                0.84975,                0.31177,                 0.8731,              0.0096634,              0.0096634,              0.0096634
                     36,                0.50177,                 0.6266,                0.29292,                0.82225,                0.94493,                0.93492,                0.97007,                0.85654,                0.94552,                0.93378,                0.96919,                0.73611,                0.54432,                0.85518,                   0.31,                0.87589,              0.0096535,              0.0096535,              0.0096535
                     37,                0.49833,                 0.6258,                0.29607,                0.82077,                0.94415,                  0.939,                0.97081,                0.86654,                0.94388,                0.93852,                 0.9702,                0.74945,                0.52521,                0.86758,                0.30218,                0.87386,              0.0096436,              0.0096436,              0.0096436
                     38,                0.49916,                0.62448,                 0.3008,                0.82385,                0.94894,                0.93301,                0.96912,                0.86066,                0.94898,                0.93304,                0.96906,                0.75046,                0.53238,                0.87565,                0.30952,                0.87553,              0.0096337,              0.0096337,              0.0096337
                     39,                0.50475,                0.63528,                0.29457,                0.82234,                0.94945,                0.93121,                0.97077,                0.86398,                0.95005,                 0.9318,                0.97064,                0.75426,                0.52805,                0.85403,                0.30587,                0.87403,              0.0096238,              0.0096238,              0.0096238
                     40,                0.49265,                0.61015,                0.28599,                 0.8191,                0.94551,                0.93822,                0.97153,                0.86742,                0.94522,                0.93737,                0.97036,                0.74718,                0.52727,                0.85632,                0.30605,                0.87348,              0.0096139,              0.0096139,              0.0096139
                     41,                0.50611,                0.63257,                0.29655,                0.82069,                0.94547,                0.93341,                0.97058,                0.86741,                0.94617,                0.93411,                0.97044,                0.75468,                0.52654,                0.85736,                0.30555,                0.87482,               0.009604,               0.009604,               0.009604
                     42,                0.49259,                0.61428,                0.29182,                0.82069,                0.94482,                0.93256,                0.96853,                0.86151,                0.94571,                0.93151,                0.96852,                0.74614,                0.53034,                 0.8565,                0.31261,                0.87419,              0.0095941,              0.0095941,              0.0095941
                     43,                  0.485,                0.60774,                0.29296,                0.82078,                0.94804,                 0.9301,                0.96918,                0.86284,                0.94813,                0.93055,                0.96868,                0.74914,                0.52259,                0.85288,                0.30629,                0.87184,              0.0095842,              0.0095842,              0.0095842
                     44,                0.49945,                0.62332,                 0.2938,                0.81976,                0.94628,                0.93518,                0.97047,                0.86035,                0.94446,                0.93514,                0.96859,                0.73574,                0.53255,                0.85266,                0.30524,                0.87497,              0.0095743,              0.0095743,              0.0095743
                     45,                0.49846,                0.60737,                0.29559,                0.81994,                 0.9452,                0.93288,                0.96994,                0.86327,                0.94645,                 0.9319,                0.96893,                0.76113,                0.53322,                0.87548,                0.30758,                0.87574,              0.0095644,              0.0095644,              0.0095644
                     46,                0.49756,                0.62294,                0.28852,                0.82089,                0.94493,                0.93411,                0.97088,                0.86448,                0.94438,                0.93356,                0.96975,                0.74156,                 0.5279,                0.83739,                0.30703,                0.87115,              0.0095545,              0.0095545,              0.0095545
