                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3285,                  2.995,                 1.0202,                0.06485,                0.41009,                0.25235,                0.08551,                 1.9132,                 2.8913,                0.88911,             0.00054142,             0.00054142,             0.00054142
                      2,                 1.9409,                    1.6,                0.89504,                0.91634,                0.43316,                0.44827,                  0.211,                 1.7697,                 1.2444,                0.90311,               0.001096,               0.001096,               0.001096
                      3,                 1.8813,                 1.3817,                0.89987,                0.90547,                0.43126,                0.47955,                0.24209,                 1.6525,                 1.1686,                0.87505,              0.0016495,              0.0016495,              0.0016495
                      4,                 1.8138,                 1.2622,                 0.8921,                0.73147,                0.56394,                0.61765,                0.32401,                 1.5845,                 1.6652,                0.86652,               0.001662,               0.001662,               0.001662
                      5,                 1.6704,                 1.1974,                0.87426,                0.60744,                0.64377,                0.67818,                0.39368,                 1.4734,                 1.3537,                0.84872,              0.0016604,              0.0016604,              0.0016604
                      6,                 1.6747,                 1.1672,                0.86407,                0.81952,                0.64194,                0.69379,                0.40219,                 1.5803,                 0.9776,                0.86051,              0.0016587,              0.0016587,              0.0016587
                      7,                 1.5883,                 1.0762,                0.86421,                0.92784,                0.67607,                0.68864,                0.44365,                 1.3221,                 0.8609,                0.83331,              0.0016571,              0.0016571,              0.0016571
                      8,                 1.6899,                  1.075,                0.87631,                0.93588,                0.63914,                0.68549,                0.41929,                 1.4253,                0.87394,                 0.8472,              0.0016554,              0.0016554,              0.0016554
                      9,                 1.6193,                 1.0351,                0.86467,                0.96891,                0.65114,                0.69146,                0.46932,                 1.3195,                0.82878,                0.84144,              0.0016538,              0.0016538,              0.0016538
                     10,                 1.5549,                 0.9836,                0.85459,                0.93138,                 0.6729,                 0.6893,                0.40617,                 1.5939,                0.84873,                0.86741,              0.0016521,              0.0016521,              0.0016521
                     11,                 1.4678,                0.95076,                 0.8441,                0.95623,                0.66763,                0.70617,                0.46893,                 1.3933,                0.78039,                0.84796,              0.0016505,              0.0016505,              0.0016505
                     12,                 1.4116,                0.91625,                 0.8483,                0.94901,                0.65508,                0.70773,                0.46113,                 1.2971,                0.75505,                0.83569,              0.0016488,              0.0016488,              0.0016488
                     13,                 1.4089,                0.90075,                0.83832,                0.95911,                0.65796,                0.70062,                0.44238,                 1.3438,                 0.7837,                0.83816,              0.0016472,              0.0016472,              0.0016472
                     14,                 1.3752,                 0.8689,                0.83622,                0.95753,                0.66083,                0.70654,                0.46191,                 1.2963,                0.73995,                0.83143,              0.0016455,              0.0016455,              0.0016455
                     15,                 1.3506,                0.82398,                0.83628,                0.96651,                0.65665,                0.71532,                0.49431,                 1.1535,                 0.6994,                0.82219,              0.0016439,              0.0016439,              0.0016439
                     16,                 1.3289,                0.83108,                0.83528,                0.96242,                 0.6556,                0.71934,                0.45169,                 1.3783,                0.74811,                0.84137,              0.0016422,              0.0016422,              0.0016422
                     17,                 1.3472,                0.80961,                0.83696,                0.97246,                0.66292,                0.77052,                0.54675,                 1.1192,                0.67032,                0.81738,              0.0016406,              0.0016406,              0.0016406
                     18,                 1.3531,                0.80654,                0.83125,                  0.966,                0.66214,                0.77233,                0.47214,                  1.476,                0.74763,                0.84635,              0.0016389,              0.0016389,              0.0016389
                     19,                 1.3118,                0.80715,                 0.8341,                0.96024,                0.66162,                0.82052,                0.58054,                 1.1762,                0.68071,                0.82277,              0.0016373,              0.0016373,              0.0016373
                     20,                 1.3219,                0.79722,                0.83041,                0.96673,                0.66909,                0.85107,                0.53791,                 1.3825,                0.71439,                0.83855,              0.0016356,              0.0016356,              0.0016356
                     21,                 1.2665,                0.75233,                0.83061,                0.83098,                 0.8284,                0.86247,                 0.6297,                 1.1221,                0.65502,                0.81948,               0.001634,               0.001634,               0.001634
                     22,                 1.2994,                0.75185,                0.83005,                0.84006,                0.82558,                0.86673,                0.59516,                 1.3025,                0.70903,                0.83314,              0.0016323,              0.0016323,              0.0016323
                     23,                 1.2964,                0.75123,                0.83447,                0.91285,                 0.8384,                 0.8829,                 0.6085,                 1.2569,                0.64177,                0.82488,              0.0016307,              0.0016307,              0.0016307
                     24,                 1.2934,                0.73105,                 0.8341,                0.98245,                0.83182,                0.90419,                0.64126,                 1.1271,                 0.6161,                0.81978,               0.001629,               0.001629,               0.001629
                     25,                 1.2705,                0.72056,                0.82383,                0.96076,                 0.8353,                0.90646,                0.60294,                 1.3308,                 0.6274,                0.83022,              0.0016274,              0.0016274,              0.0016274
                     26,                  1.267,                0.72525,                0.82861,                0.97907,                0.82982,                0.93561,                0.66437,                 1.1995,                0.60388,                0.82358,              0.0016257,              0.0016257,              0.0016257
                     27,                 1.2257,                0.70036,                0.82175,                0.97535,                0.83347,                 0.9415,                0.65268,                 1.2617,                0.67527,                0.83156,              0.0016241,              0.0016241,              0.0016241
                     28,                 1.2628,                0.69978,                0.82704,                0.98127,                0.82982,                0.94373,                 0.6405,                 1.2161,                 0.6159,                0.82398,              0.0016224,              0.0016224,              0.0016224
                     29,                 1.2899,                0.70368,                0.82474,                0.97875,                0.83713,                0.91354,                0.64973,                 1.2049,                0.60209,                0.82082,              0.0016208,              0.0016208,              0.0016208
                     30,                 1.2264,                0.69949,                0.82145,                0.97607,                0.83597,                 0.9333,                0.68817,                 1.1826,                0.60683,                0.82212,              0.0016191,              0.0016191,              0.0016191
                     31,                 1.2132,                0.67636,                0.82351,                0.98206,                0.83798,                0.95508,                0.64303,                 1.1825,                0.61132,                0.81761,              0.0016175,              0.0016175,              0.0016175
                     32,                 1.2173,                0.67647,                0.81802,                0.93073,                 0.9633,                0.98308,                 0.6805,                 1.2357,                0.59119,                0.82324,              0.0016158,              0.0016158,              0.0016158
                     33,                 1.1765,                0.65191,                0.82021,                0.98047,                0.83441,                0.95504,                0.69643,                 1.1719,                0.61893,                0.82038,              0.0016142,              0.0016142,              0.0016142
                     34,                 1.1856,                 0.6436,                0.82619,                0.98123,                0.83667,                0.96499,                0.70442,                  1.228,                  0.598,                0.82444,              0.0016125,              0.0016125,              0.0016125
                     35,                 1.1853,                 0.6434,                0.81953,                0.98171,                 0.8885,                0.98065,                0.72721,                 1.1355,                0.55887,                0.81694,              0.0016109,              0.0016109,              0.0016109
                     36,                 1.1669,                0.62369,                0.82064,                0.95489,                0.92667,                0.98488,                0.73143,                 1.1532,                0.56331,                0.81798,              0.0016092,              0.0016092,              0.0016092
                     37,                 1.2062,                0.63044,                0.81786,                0.94868,                0.88735,                0.97884,                0.70511,                 1.1899,                0.57978,                0.81645,              0.0016076,              0.0016076,              0.0016076
                     38,                 1.1343,                0.61683,                0.81966,                0.96307,                0.95266,                0.98917,                0.71783,                 1.1636,                 0.5534,                0.81745,              0.0016059,              0.0016059,              0.0016059
                     39,                  1.168,                0.60733,                0.81648,                0.98349,                0.93296,                0.97865,                0.72864,                 1.2049,                0.56423,                0.82337,              0.0016043,              0.0016043,              0.0016043
                     40,                 1.2028,                0.60728,                0.81985,                0.96736,                0.97503,                0.98986,                0.69545,                 1.2367,                0.56422,                0.82209,              0.0016026,              0.0016026,              0.0016026
                     41,                 1.1395,                0.59559,                0.81976,                0.97155,                0.90996,                0.98339,                0.72613,                 1.1701,                 0.6523,                0.82199,               0.001601,               0.001601,               0.001601
                     42,                 1.1985,                0.62835,                0.81826,                0.98007,                  0.977,                0.98706,                0.69781,                 1.2626,                0.57446,                0.82272,              0.0015993,              0.0015993,              0.0015993
                     43,                 1.2301,                0.61694,                0.81646,                0.97104,                 0.9708,                0.98806,                0.76129,                   1.08,                0.55356,                0.81033,              0.0015977,              0.0015977,              0.0015977
                     44,                 1.1713,                0.60761,                0.81668,                0.97805,                0.97301,                0.98507,                0.69906,                 1.2531,                0.57707,                0.82757,               0.001596,               0.001596,               0.001596
                     45,                 1.1584,                0.59027,                0.81504,                0.98694,                 0.9671,                0.98711,                0.70853,                 1.2691,                0.57179,                 0.8272,              0.0015944,              0.0015944,              0.0015944
                     46,                 1.1328,                0.58122,                0.81572,                0.98349,                0.97812,                0.98976,                0.73272,                 1.1176,                0.53479,                0.81452,              0.0015927,              0.0015927,              0.0015927
                     47,                 1.1488,                0.57545,                0.81964,                0.98436,                0.97482,                0.98871,                0.67974,                 1.2863,                0.57055,                0.82749,              0.0015911,              0.0015911,              0.0015911
                     48,                   1.15,                0.57779,                0.82046,                0.96793,                0.96534,                0.98716,                0.73623,                 1.1946,                0.59813,                0.82124,              0.0015894,              0.0015894,              0.0015894
                     49,                 1.1457,                0.59516,                0.81397,                0.97655,                0.97961,                0.98936,                0.68218,                 1.2888,                0.59011,                0.82458,              0.0015878,              0.0015878,              0.0015878
                     50,                 1.1411,                0.57285,                0.81351,                0.98567,                0.97246,                0.98783,                0.74911,                 1.0392,                0.51376,                 0.8075,              0.0015861,              0.0015861,              0.0015861
                     51,                 1.1329,                0.56664,                0.81617,                0.96396,                0.95607,                0.98647,                0.73758,                 1.1836,                0.56566,                0.82001,              0.0015845,              0.0015845,              0.0015845
