                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3001,                 4.9952,                 1.1241,                0.02452,                0.00153,                0.01274,                0.00755,                 1.9269,                 4.8551,                0.98824,             0.00011717,             0.00011717,             0.00011717
                      2,                 2.1407,                 4.5865,                 1.0467,                0.03043,                0.09967,                 0.0264,                0.01382,                 2.0238,                 4.0934,                0.96943,             0.00023594,             0.00023594,             0.00023594
                      3,                 2.1284,                 4.2661,                 1.0089,                0.04313,                0.11891,                0.04868,                0.02585,                  1.982,                 3.6933,                0.97139,             0.00035447,             0.00035447,             0.00035447
                      4,                 2.1505,                 4.0081,                 0.9935,                0.04966,                0.14532,                0.05696,                0.02964,                  1.957,                   3.56,                0.96132,             0.00035594,             0.00035594,             0.00035594
                      5,                 2.1009,                 3.8598,                0.98361,                 0.0803,                0.18379,                0.08068,                0.04414,                  1.919,                 3.4677,                0.95334,             0.00035559,             0.00035559,             0.00035559
                      6,                 2.0707,                 3.6321,                0.98108,                0.09144,                0.23331,                0.11265,                0.06652,                  1.897,                 3.4393,                0.95137,             0.00035523,             0.00035523,             0.00035523
                      7,                 2.0483,                 3.5395,                0.95743,                0.08587,                0.24943,                 0.0964,                0.05227,                 1.9105,                 3.2845,                0.94938,             0.00035488,             0.00035488,             0.00035488
                      8,                 2.0053,                  3.324,                0.96396,                0.08668,                0.26439,                0.08842,                0.04801,                 1.9025,                 3.0551,                0.94571,             0.00035453,             0.00035453,             0.00035453
                      9,                 2.0955,                  3.187,                0.96289,                 0.0854,                0.28304,                0.10964,                0.05857,                 1.9149,                 2.9052,                0.93906,             0.00035417,             0.00035417,             0.00035417
                     10,                 2.0401,                 3.1266,                0.96849,                0.09466,                0.29669,                0.12659,                0.06985,                 1.8613,                 2.8649,                0.94318,             0.00035382,             0.00035382,             0.00035382
                     11,                 2.0753,                 2.9599,                0.96247,                0.10642,                0.32524,                 0.1445,                0.07761,                 1.8903,                 2.6446,                0.94337,             0.00035347,             0.00035347,             0.00035347
                     12,                 1.9917,                 2.8533,                0.96548,                 0.1096,                0.34971,                0.15585,                 0.0824,                 1.8139,                  2.633,                0.93478,             0.00035311,             0.00035311,             0.00035311
                     13,                 2.0138,                 2.8251,                0.95472,                0.28581,                0.21381,                0.21268,                0.11913,                 1.8493,                 2.3984,                   0.93,             0.00035276,             0.00035276,             0.00035276
                     14,                 1.9898,                  2.717,                0.96173,                0.18306,                 0.3955,                0.19801,                0.10708,                 1.8097,                 2.3534,                0.93477,             0.00035241,             0.00035241,             0.00035241
                     15,                 1.9946,                 2.6668,                0.94781,                0.20361,                0.23263,                0.19213,                0.10145,                 1.8211,                 2.3331,                0.93513,             0.00035205,             0.00035205,             0.00035205
                     16,                 1.9817,                  2.584,                0.93906,                0.23999,                0.24757,                 0.1996,                0.10615,                 1.8221,                 2.3258,                0.93458,              0.0003517,              0.0003517,              0.0003517
                     17,                 1.9664,                 2.4081,                0.94331,                0.23263,                0.27851,                0.22306,                0.12041,                 1.8116,                 2.1936,                0.93399,             0.00035135,             0.00035135,             0.00035135
                     18,                 1.9044,                 2.4378,                0.94371,                0.24896,                0.28679,                0.22184,                0.11967,                 1.7932,                 2.1196,                0.93485,             0.00035099,             0.00035099,             0.00035099
                     19,                 1.9104,                 2.3918,                  0.943,                0.26285,                0.27876,                0.22302,                0.11431,                 1.7813,                 2.1699,                0.93365,             0.00035064,             0.00035064,             0.00035064
                     20,                  1.879,                 2.2925,                0.93529,                0.28288,                0.28575,                0.26678,                0.14158,                 1.7659,                 2.0791,                0.92948,             0.00035028,             0.00035028,             0.00035028
                     21,                 1.8831,                 2.1576,                0.94921,                0.27634,                0.34729,                0.27552,                0.14247,                 1.7562,                 2.0177,                0.93503,             0.00034993,             0.00034993,             0.00034993
                     22,                  1.884,                 2.3371,                0.95472,                0.26342,                0.34553,                0.27979,                0.15044,                 1.7594,                 1.9315,                0.92603,             0.00034958,             0.00034958,             0.00034958
                     23,                 1.8576,                 2.1385,                0.93374,                0.29628,                0.33976,                0.27069,                0.14498,                 1.7502,                 1.8935,                0.92851,             0.00034922,             0.00034922,             0.00034922
