                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6691,                  2.685,                 5.0253,                0.98317,                0.04348,                0.00198,                0.02273,                0.01586,                0.04348,                0.00198,                0.02273,                0.01824,                 1.4329,                   2.23,                 4.9216,                0.86777,             0.00011739,             0.00011739,             0.00011739
                      2,                 1.5749,                 2.2658,                  4.509,                0.89399,                0.91226,                0.04379,                 0.0617,                 0.0424,                0.91232,                0.04194,                0.06056,                0.03615,                 1.5016,                 1.9584,                 3.8738,                0.86189,             0.00023616,             0.00023616,             0.00023616
                      3,                 1.5272,                 2.0457,                 4.0817,                0.87437,                0.09945,                0.23212,                0.10423,                0.07228,                0.09538,                0.22516,                0.10024,                0.06373,                 1.4878,                 1.8534,                 3.2424,                 0.8557,             0.00035469,             0.00035469,             0.00035469
                      4,                 1.5542,                 2.0423,                 3.8144,                0.86991,                0.10112,                0.29429,                0.12697,                0.09176,                0.09377,                0.28461,                0.12025,                 0.0682,                 1.4379,                 1.8725,                 3.0206,                0.84947,             0.00035594,             0.00035594,             0.00035594
                      5,                 1.5007,                 1.9654,                 3.6624,                0.86226,                0.08882,                0.29383,                0.13111,                0.09782,                0.08371,                 0.2856,                0.12706,                0.07556,                 1.3841,                 1.7558,                 2.8373,                0.84611,             0.00035559,             0.00035559,             0.00035559
                      6,                  1.459,                 1.8518,                 3.3489,                0.85538,                0.09375,                0.30743,                0.12655,                0.09013,                 0.0866,                 0.2959,                 0.1189,                0.06944,                 1.3677,                 1.7126,                 2.7401,                0.84359,             0.00035523,             0.00035523,             0.00035523
                      7,                 1.4383,                 1.8025,                 3.1805,                0.85267,                0.11066,                0.36051,                0.15308,                0.11468,                0.10068,                0.34345,                0.14084,                0.08271,                 1.3345,                 1.6958,                 2.5773,                0.83976,             0.00035488,             0.00035488,             0.00035488
                      8,                 1.4122,                 1.7925,                  3.045,                0.85282,                0.11816,                0.38093,                 0.1546,                  0.115,                 0.1075,                 0.3622,                0.14175,                0.08202,                 1.3473,                 1.7016,                 2.3746,                0.83956,             0.00035453,             0.00035453,             0.00035453
                      9,                   1.36,                 1.6544,                 2.8689,                0.84559,                0.12531,                0.39672,                0.15537,                 0.1172,                0.11342,                0.37444,                 0.1406,                0.08012,                 1.2743,                 1.6516,                 2.3285,                0.83444,             0.00035417,             0.00035417,             0.00035417
                     10,                 1.3495,                 1.6819,                 2.8216,                0.84657,                0.12409,                0.40296,                0.17112,                0.12301,                0.11128,                0.37552,                0.15354,                0.09138,                 1.2874,                 1.6306,                 2.1739,                0.83565,             0.00035382,             0.00035382,             0.00035382
                     11,                 1.3549,                 1.6691,                 2.6748,                0.84365,                0.12217,                0.40724,                0.17471,                0.12652,                 0.1082,                0.37925,                0.15693,                0.09341,                 1.2677,                 1.6287,                 2.0455,                0.83079,             0.00035347,             0.00035347,             0.00035347
                     12,                   1.28,                 1.6397,                 2.6225,                0.84444,                0.13374,                0.42125,                0.18557,                0.13444,                0.10721,                0.38763,                0.15986,                0.09015,                 1.2352,                  1.624,                 2.0585,                0.82944,             0.00035311,             0.00035311,             0.00035311
